id;title;description;due_date;date;status;type;priority
1;out-of-the-box Grocery SMTP;bus;2022-09-09;2022-09-09T03:47:10;IN_PROGRESS;FEATURE;HIGH
2;Afghanistan Utah Quality;Licensed;2022-09-08;2022-09-08T15:09:47;WONT_IMPLEMENT;FEATURE;LOW
3;executive;Connecticut modular;2022-09-08;2022-09-08T20:55:50;OPEN;BUG;LOWER
4;B2C Legacy;Lane Chair Music;2022-09-09;2022-09-09T01:39:47;DUPLICATE;BUG;LOW
5;enable Incredible;Outdoors Fantastic Crest;2022-09-08;2022-09-08T13:53:55;OPEN;FEATURE;NORMAL
6;deposit Cotton Compatible;matrix Balanced Small;2022-09-08;2022-09-08T08:54:09;OPEN;FEATURE;LOW
7;Bike;generate systems Dollar;2022-09-09;2022-09-08T23:56:49;CLOSED;FEATURE;LOWER
8;Innovative utilize Kids;networks Customer;2022-09-09;2022-09-09T00:40:07;DUPLICATE;BUG;LOWEST
9;Rustic attitude-oriented;Data Beauty;2022-09-09;2022-09-09T02:54:09;VERIFIED;FEATURE;HIGHER
10;neural Licensed Refined;payment Steel Human;2022-09-08;2022-09-08T08:34:07;WAITING_FOR_RESPONSE;BUG;HIGH
